22/02/22, 3:05 pm - Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
22/02/22, 3:05 pm - Saifullah RCCiit: <Media omitted>
24/02/22, 6:17 pm - .: Bhai kl math ka test hai ?
24/02/22, 6:17 pm - Saifullah RCCiit: Na bhai aisa kuch nhi hai...maths sir toh assignment denge
24/02/22, 6:17 pm - Saifullah RCCiit: Ghar se karke dena hai
24/02/22, 6:17 pm - .: Ok
28/02/22, 12:01 pm - .: https://chng.it/MSFhsdLs5h
06/03/22, 12:28 pm - Saifullah RCCiit: <Media omitted>
06/03/22, 12:33 pm - .: Bhai mai ghar se bahar hoon
06/03/22, 12:34 pm - Saifullah RCCiit: Oh 😅 thk bhai no problem
08/03/22, 12:15 pm - Saifullah RCCiit: <Media omitted>
08/03/22, 12:15 pm - Saifullah RCCiit: <Media omitted>
08/03/22, 12:34 pm - Saifullah RCCiit: This message was deleted
08/03/22, 12:34 pm - Saifullah RCCiit: This message was deleted
08/03/22, 12:37 pm - Saifullah RCCiit: <Media omitted>
08/03/22, 12:37 pm - Saifullah RCCiit: <Media omitted>
14/03/22, 11:08 am - Saifullah RCCiit: Bhai mera file tumhare pass hai na
14/03/22, 11:08 am - Saifullah RCCiit: CA ka
14/03/22, 12:19 pm - .: Haan
14/03/22, 12:19 pm - .: Kl leke aaunga
14/03/22, 12:23 pm - .: Ca ka assignment hogya to bhej do na
14/03/22, 12:27 pm - Saifullah RCCiit: Na hua nhi abhi bas printout hi hai
14/03/22, 12:27 pm - Saifullah RCCiit: Koi raat tak dega
14/03/22, 12:27 pm - Saifullah RCCiit: <Media omitted>
14/03/22, 12:27 pm - Saifullah RCCiit: <Media omitted>
14/03/22, 12:28 pm - .: Ok no problem at all
20/03/22, 10:06 am - Saifullah RCCiit: Bhai ca lab ka pic dona A4 mai jo likhna hai first day ka
20/03/22, 10:15 am - .: <Media omitted>
20/03/22, 10:15 am - .: <Media omitted>
20/03/22, 10:15 am - .: <Media omitted>
20/03/22, 10:15 am - .: Bs itna chota?
20/03/22, 10:15 am - .: 1st
20/03/22, 10:15 am - .: 2nd
20/03/22, 10:15 am - .: Then code 2 piece
20/03/22, 10:15 am - .: Then image 2 piece
20/03/22, 10:15 am - .: Conclusion last
20/03/22, 10:16 am - Saifullah RCCiit: Ok bhai
24/03/22, 11:28 pm - .: Bhai kl aao ge college
24/03/22, 11:29 pm - .: Sure hoke bolna ,tum aaoge tbhi hm aayenge
24/03/22, 11:29 pm - Saifullah RCCiit: Nhi bhai
24/03/22, 11:29 pm - .: Ok
24/03/22, 11:29 pm - Saifullah RCCiit: Ha bhai sure no
27/03/22, 2:25 pm - .: saif bhai yeh jo auto mata ka survay wala form aaya hai usmai kya krna hai??
27/03/22, 2:25 pm - .: <Media omitted>
27/03/22, 2:28 pm - Saifullah RCCiit: Previous wlaa bhare the jo book ke liye
27/03/22, 2:28 pm - Saifullah RCCiit: Wahi bas likhna hai konsa liye the
27/03/22, 2:28 pm - Saifullah RCCiit: Kch bhe mardo bhai chalega
27/03/22, 2:28 pm - Saifullah RCCiit: <Media omitted>
27/03/22, 2:31 pm - .: ok
28/03/22, 7:05 pm - Saifullah RCCiit: This message was deleted
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:06 pm - Saifullah RCCiit: <Media omitted>
28/03/22, 7:10 pm - .: Thanku so much
28/03/22, 7:10 pm - Saifullah RCCiit: <Media omitted>
01/04/22, 12:22 am - Saifullah RCCiit: Bhai kal chalo na nawarrah
01/04/22, 12:22 am - Saifullah RCCiit: 👀
01/04/22, 9:01 am - .: Bhai bolle prims r kruskal ekdam yaad nhi hora kuch intezam Krna hoga
01/04/22, 9:15 am - Saifullah RCCiit: Kar lege likh lenge inshallah bench mai
